0x2069EE,ChapterID,Node0Odds,Node1Odds,Node2Odds,Node3Odds,Node4Odds,Node5Odds,Node6Odds,Node7Odds,Node8Odds
0,0xE,0,0,0,0,0,0,0,0,0
1,0xF,0,0,0,0,0,0,0,0,0
2,0x10,0,0,0,0,0,0,0,0,0
3,0x11,0,0,0,0,0,0,0,0,0
4,0x12,0,0,0,0,0,0,0,0,0
5,0x13,0,0,0,0,0,0,0,0,0
6,0x14,0,0,0,0,0,0,0,0,0
7,0x15,0,0,0,0,0,0,0,0,0
8,0x16,0,0,0,0,0,0,0,0,0
9,0x2,0,0,0,0,0,0,0,0,0
10,0x3,0,0,0,0,0,0,0,0,0
11,0xE,0,0,0,0,0,0,0,0,0
12,0xF,0,0,0,0,0,0,0,0,0
13,0x10,0,0,0,0,0,0,0,0,0
14,0x11,0,0,0,0,0,0,0,0,0
15,0x12,0,0,0,0,0,0,0,0,0
16,0x13,0,0,0,0,0,0,0,0,0
17,0x14,0,0,0,0,0,0,0,0,0
18,0x15,0,0,0,0,0,0,0,0,0
19,0x16,0,0,0,0,0,0,0,0,0
20,0x2,0,0,0,0,0,0,0,0,0
21,0x3,0,0,0,0,0,0,0,0,0